protocol,condition,display_name,condition_type,method,held_out_group,n_train,n_test,stress_test_note,accuracy,macro_recall,macro_f1
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,C01,10211,2733,none,1.0,1.0,1.0
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,C02,10625,2319,none,0.9918068132815869,0.973049645390071,0.9741399193870677
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,C03,11307,1637,none,0.9932803909590715,0.9775510204081632,0.9791285162713734
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,W01,10525,2419,none,0.9921455146754857,0.9794594594594596,0.9789861216134674
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,W02,10574,2370,none,0.9852320675105485,0.9585798816568047,0.9549541161012653
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,W03,11478,1466,none,0.9897680763983628,0.953125,0.9619570745600651
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,C01,10211,2733,none,0.9915843395536041,0.9192982456140351,0.9234618488855777
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,C02,10625,2319,none,0.9831824062095731,0.9446808510638298,0.945804917287448
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,C03,11307,1637,none,0.9920586438607208,0.9734693877551021,0.9752660339373023
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,W01,10525,2419,none,0.9925589086399339,0.9805405405405405,0.9800953079178886
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,W02,10574,2370,none,0.9928270042194093,0.9798816568047337,0.9781124186253507
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,W03,11478,1466,none,1.0,1.0,1.0
board_grouped,spectral_descriptors_only,Spectral descriptors only,spectral_only,balanced_logistic_regression,C01,10211,2733,none,0.48920600073179654,0.274415971149927,0.20844126880028346
